folder,beta,Pe,h0_slope,h0_intercept,h0_r2,h0_fit_points,h0_log_time_start,h0_log_time_end,h0_curvature,x0_slope,x0_intercept,x0_r2,x0_fit_points,x0_log_time_start,x0_log_time_end,x0_curvature
beta_0.3_Pe_1,0.3,1.0,0.9475667583257674,-5.509192012157376,0.9998901685363434,54,-1.6094379124341003,1.7047480922384253,0.015245370465208019,0.984400449811807,-5.724058287791773,0.9727188695165253,17,-1.6094379124341003,0.5877866649021191,0.2861876935024732
beta_0.3_Pe_10,0.3,10.0,0.9432447126721286,-5.495120442760215,0.9996791955672352,63,-2.3025850929940455,1.8405496333974871,0.08639427201371941,3.409243026244752,-16.94552841033272,0.9995556439678279,34,4.490881039585964,4.52720864451838,0.0017681516519958418
beta_0.3_Pe_100,0.3,100.0,0.9599438635091122,-5.463329973571667,0.9996029572193725,49,-2.3025850929940455,1.589235205116581,0.08951622052502639,2.1854803423433546,-10.127591594790493,0.9999071776219507,27,3.7256934272366524,3.7864597824528,0.0007893506255500782
beta_0.3_Pe_1000,0.3,1000.0,0.9274488387203841,-5.460025340406782,0.9995327087130906,15,-2.3025850929940455,0.5877866649021191,0.04569006294727185,0.28588083818009424,-6.860460379927318,0.34503274412768326,15,-2.3025850929940455,0.5877866649021191,0.6119388679858568
beta_0.3_Pe_10000,0.3,10000.0,0.7753281796414225,-5.7628062384589445,0.9995235315812308,22,-1.6094379124341003,0.8329091229351041,0.024402308134013673,1.2637672301300367,-5.410689580232094,0.9765886569778944,15,-1.6094379124341003,0.47000362924573563,0.2632063951269057
beta_0.4_Pe_1,0.4,1.0,0.939357887957022,-5.558470076637789,0.9996687171265106,63,-2.3025850929940455,1.8405496333974871,0.08816604101084291,0.9029671884022884,-5.461372863523898,0.9710392708295804,20,-2.3025850929940455,0.6931471805599453,0.3450942995678723
beta_0.4_Pe_10,0.4,10.0,0.9491399077963819,-5.547779122486382,0.9996925652130085,67,-2.3025850929940455,1.9021075263969205,0.08969192516605506,3.0633145543746854,-15.279392333976931,0.9999201443173725,30,4.475061500641071,4.507557357121091,0.0005485379052627692
beta_0.4_Pe_1000,0.4,1000.0,0.9232370107301954,-5.484527530580127,0.9996903623492092,15,-2.3025850929940455,0.5877866649021191,0.02906657849209182,0.38545350124666333,-6.734577463047358,0.432828323529861,15,-2.3025850929940455,0.5877866649021191,0.6988700447607474
beta_0.4_Pe_10000,0.4,10000.0,0.7175134019561429,-5.91224623748312,0.9992119439277309,15,-1.6094379124341003,0.47000362924573563,0.02448594810166238,1.2647469460260456,-5.320565471721668,0.9771393187509332,15,-1.6094379124341003,0.47000362924573563,0.352150952342571
beta_0.5_Pe_1,0.5,1.0,0.9408261586846096,-5.620012401403679,0.9996768755673269,66,-2.3025850929940455,1.88706964903238,0.08948360715573678,0.9783953076754613,-5.23719423132214,0.9677536319516333,15,-2.3025850929940455,0.4054651081081644,0.3835766185912268
beta_0.5_Pe_10,0.5,10.0,0.9570419988099078,-5.602775523909368,0.9996800841513771,72,-2.3025850929940455,1.9740810260220096,0.10036944723746188,2.855459449265686,-14.28901132524401,0.9999229238571141,33,4.480740107609915,4.516338972281476,0.0005541327776996674
beta_0.5_Pe_100,0.5,100.0,0.9952349204368808,-5.5139345936520385,0.9993215887135648,38,-2.3025850929940455,1.3350010667323402,0.10786356396257446,2.0646400819980064,-9.435493591803915,0.9999098484357892,25,3.5524868292083815,3.61899332664977,0.0008002571768694899
beta_0.5_Pe_1000,0.5,1000.0,0.919246251675531,-5.50186564726452,0.9995519543156273,15,-2.3025850929940455,0.5306282510621705,0.027132126542150914,0.27768359742373894,-6.623049316060044,0.223988613399543,15,-2.3025850929940455,0.5306282510621705,0.6665595640964437
beta_0.5_Pe_10000,0.5,10000.0,0.6540662080854267,-6.059113100895791,0.9985220336044742,15,-1.6094379124341003,0.47000362924573563,0.03353234811755623,1.2683118636733401,-5.295908957777897,0.976719431176658,16,-1.6094379124341003,0.5306282510621705,0.3725154023893378
